age_bin,gender_bin,race_bin,educ_bin,count,fips
65+,Female,Other,College degree,742,01
65+,Female,Other,H.S. or less,4011,01
65+,Female,Other,Postgraduate,1516,01
65+,Female,Other,Some college,2084,01
65+,Female,White,College degree,39670,01
65+,Female,White,H.S. or less,190524,01
65+,Female,White,Postgraduate,30572,01
65+,Female,White,Some college,93867,01
65+,Male,Asian,College degree,474,01
65+,Male,Asian,H.S. or less,869,01
65+,Male,Asian,Postgraduate,841,01
65+,Male,Asian,Some college,441,01
65+,Male,Black,College degree,5507,01
65+,Male,Black,H.S. or less,40266,01
65+,Male,Black,Postgraduate,4255,01
65+,Male,Black,Some college,15438,01
65+,Male,Hispanic,College degree,504,01
65+,Male,Hispanic,H.S. or less,1768,01
65+,Male,Hispanic,Postgraduate,430,01
65+,Male,Hispanic,Some college,1122,01
65+,Male,Other,College degree,600,01
65+,Male,Other,H.S. or less,1994,01
65+,Male,Other,Postgraduate,622,01
65+,Male,Other,Some college,1506,01
65+,Male,White,College degree,49291,01
65+,Male,White,H.S. or less,123256,01
65+,Male,White,Postgraduate,37888,01
65+,Male,White,Some college,72860,01
18-29,Female,Asian,College degree,914,02
18-29,Female,Asian,H.S. or less,1465,02
18-29,Female,Asian,Postgraduate,55,02
18-29,Female,Asian,Some college,1964,02
18-29,Female,Black,College degree,311,02
18-29,Female,Black,H.S. or less,1233,02
18-29,Female,Black,Some college,580,02
18-29,Female,Hispanic,College degree,615,02
18-29,Female,Hispanic,H.S. or less,2103,02
18-29,Female,Hispanic,Postgraduate,104,02
18-29,Female,Hispanic,Some college,2446,02
18-29,Female,Other,College degree,798,02
18-29,Female,Other,H.S. or less,8651,02
18-29,Female,Other,Postgraduate,103,02
18-29,Female,Other,Some college,5859,02
18-29,Female,White,College degree,6167,02
18-29,Female,White,H.S. or less,10810,02
18-29,Female,White,Postgraduate,1630,02
18-29,Female,White,Some college,12371,02
18-29,Male,Asian,College degree,784,02
18-29,Male,Asian,H.S. or less,2120,02
18-29,Male,Asian,Postgraduate,135,02
18-29,Male,Asian,Some college,2496,02
18-29,Male,Black,College degree,153,02
18-29,Male,Black,H.S. or less,2310,02
18-29,Male,Black,Postgraduate,12,02
18-29,Male,Black,Some college,746,02
18-29,Male,Hispanic,College degree,202,02
18-29,Male,Hispanic,H.S. or less,3027,02
18-29,Male,Hispanic,Postgraduate,13,02
18-29,Male,Hispanic,Some college,3744,02
18-29,Male,Other,College degree,544,02
18-29,Male,Other,H.S. or less,12209,02
18-29,Male,Other,Postgraduate,18,02
18-29,Male,Other,Some college,4093,02
18-29,Male,White,College degree,4928,02
18-29,Male,White,H.S. or less,17492,02
18-29,Male,White,Postgraduate,842,02
18-29,Male,White,Some college,16832,02
30-44,Female,Asian,College degree,1241,02
30-44,Female,Asian,H.S. or less,2392,02
30-44,Female,Asian,Postgraduate,410,02
30-44,Female,Asian,Some college,3754,02
30-44,Female,Black,College degree,314,02
30-44,Female,Black,H.S. or less,479,02
30-44,Female,Black,Postgraduate,174,02
30-44,Female,Black,Some college,691,02
30-44,Female,Hispanic,College degree,1273,02
30-44,Female,Hispanic,H.S. or less,1296,02
30-44,Female,Hispanic,Postgraduate,442,02
30-44,Female,Hispanic,Some college,2574,02
30-44,Female,Other,College degree,1824,02
30-44,Female,Other,H.S. or less,7189,02
30-44,Female,Other,Postgraduate,654,02
30-44,Female,Other,Some college,5956,02
30-44,Female,White,College degree,11995,02
30-44,Female,White,H.S. or less,8401,02
30-44,Female,White,Postgraduate,8034,02
30-44,Female,White,Some college,15071,02
30-44,Male,Asian,College degree,735,02
30-44,Male,Asian,H.S. or less,2618,02
30-44,Male,Asian,Postgraduate,142,02
30-44,Male,Asian,Some college,1780,02
30-44,Male,Black,College degree,238,02
30-44,Male,Black,H.S. or less,1611,02
30-44,Male,Black,Postgraduate,174,02
30-44,Male,Black,Some college,1434,02
30-44,Male,Hispanic,College degree,671,02
30-44,Male,Hispanic,H.S. or less,2132,02
30-44,Male,Hispanic,Postgraduate,274,02
30-44,Male,Hispanic,Some college,2399,02
30-44,Male,Other,College degree,1357,02
30-44,Male,Other,H.S. or less,9657,02
30-44,Male,Other,Postgraduate,545,02
30-44,Male,Other,Some college,4162,02
30-44,Male,White,College degree,11266,02
30-44,Male,White,H.S. or less,14081,02
30-44,Male,White,Postgraduate,5851,02
30-44,Male,White,Some college,18124,02
45-64,Female,Asian,College degree,1863,02
45-64,Female,Asian,H.S. or less,2593,02
45-64,Female,Asian,Postgraduate,532,02
45-64,Female,Asian,Some college,1815,02
45-64,Female,Black,College degree,428,02
45-64,Female,Black,H.S. or less,861,02
45-64,Female,Black,Postgraduate,481,02
45-64,Female,Black,Some college,910,02
45-64,Female,Hispanic,College degree,1015,02
45-64,Female,Hispanic,H.S. or less,1592,02
45-64,Female,Hispanic,Postgraduate,439,02
45-64,Female,Hispanic,Some college,1261,02
45-64,Female,Other,College degree,1623,02
45-64,Female,Other,H.S. or less,6934,02
45-64,Female,Other,Postgraduate,752,02
45-64,Female,Other,Some college,5191,02
45-64,Female,White,College degree,14006,02
45-64,Female,White,H.S. or less,15457,02
45-64,Female,White,Postgraduate,9119,02
45-64,Female,White,Some college,20051,02
45-64,Male,Asian,College degree,612,02
45-64,Male,Asian,H.S. or less,3588,02
45-64,Male,Asian,Postgraduate,180,02
45-64,Male,Asian,Some college,2402,02
45-64,Male,Black,College degree,200,02
45-64,Male,Black,H.S. or less,1355,02
45-64,Male,Black,Postgraduate,383,02
45-64,Male,Black,Some college,641,02
45-64,Male,Hispanic,College degree,764,02
45-64,Male,Hispanic,H.S. or less,2068,02
45-64,Male,Hispanic,Postgraduate,228,02
45-64,Male,Hispanic,Some college,1764,02
45-64,Male,Other,College degree,960,02
45-64,Male,Other,H.S. or less,7943,02
45-64,Male,Other,Postgraduate,576,02
45-64,Male,Other,Some college,5023,02
45-64,Male,White,College degree,12647,02
45-64,Male,White,H.S. or less,22117,02
45-64,Male,White,Postgraduate,9377,02
45-64,Male,White,Some college,22365,02
65+,Female,Asian,College degree,358,02
65+,Female,Asian,H.S. or less,1674,02
65+,Female,Asian,Postgraduate,97,02
65+,Female,Asian,Some college,1245,02
65+,Female,Black,College degree,92,02
65+,Female,Black,H.S. or less,430,02
65+,Female,Black,Postgraduate,144,02
65+,Female,Black,Some college,623,02
65+,Female,Hispanic,College degree,252,02
65+,Female,Hispanic,H.S. or less,401,02
65+,Female,Hispanic,Postgraduate,102,02
65+,Female,Hispanic,Some college,355,02
65+,Female,Other,College degree,495,02
65+,Female,Other,H.S. or less,4041,02
65+,Female,Other,Postgraduate,158,02
65+,Female,Other,Some college,2046,02
65+,Female,White,College degree,6294,02
65+,Female,White,H.S. or less,10713,02
65+,Female,White,Postgraduate,4708,02
65+,Female,White,Some college,9875,02
65+,Male,Asian,College degree,235,02
65+,Male,Asian,H.S. or less,1091,02
65+,Male,Asian,Postgraduate,95,02
65+,Male,Asian,Some college,308,02
65+,Male,Black,College degree,243,02
65+,Male,Black,H.S. or less,96,02
65+,Male,Black,Postgraduate,34,02
65+,Male,Black,Some college,457,02
65+,Male,Hispanic,College degree,148,02
65+,Male,Hispanic,H.S. or less,363,02
65+,Male,Hispanic,Postgraduate,77,02
65+,Male,Hispanic,Some college,535,02
65+,Male,Other,College degree,533,02
65+,Male,Other,H.S. or less,3217,02
65+,Male,Other,Postgraduate,232,02
65+,Male,Other,Some college,1849,02
65+,Male,White,College degree,6204,02
65+,Male,White,H.S. or less,8223,02
65+,Male,White,Postgraduate,5980,02
65+,Male,White,Some college,12976,02
18-29,Female,Asian,College degree,6426,04
18-29,Female,Asian,H.S. or less,5097,04
18-29,Female,Asian,Postgraduate,3126,04
18-29,Female,Asian,Some college,7363,04
18-29,Female,Black,College degree,3003,04
18-29,Female,Black,H.S. or less,10729,04
18-29,Female,Black,Postgraduate,733,04
18-29,Female,Black,Some college,13266,04
18-29,Female,Hispanic,College degree,21159,04
18-29,Female,Hispanic,H.S. or less,112539,04
18-29,Female,Hispanic,Postgraduate,2597,04
18-29,Female,Hispanic,Some college,93538,04
18-29,Female,Other,College degree,5623,04
18-29,Female,Other,H.S. or less,20928,04
18-29,Female,Other,Postgraduate,1025,04
18-29,Female,Other,Some college,20597,04
18-29,Female,White,College degree,56688,04
18-29,Female,White,H.S. or less,77574,04
18-29,Female,White,Postgraduate,10427,04
18-29,Female,White,Some college,105953,04
18-29,Male,Asian,College degree,7109,04
18-29,Male,Asian,H.S. or less,5381,04
18-29,Male,Asian,Postgraduate,3549,04
18-29,Male,Asian,Some college,8144,04
18-29,Male,Black,College degree,4084,04
18-29,Male,Black,H.S. or less,15583,04
18-29,Male,Black,Postgraduate,1089,04
18-29,Male,Black,Some college,14562,04
18-29,Male,Hispanic,College degree,14728,04
18-29,Male,Hispanic,H.S. or less,143401,04
18-29,Male,Hispanic,Postgraduate,2783,04
18-29,Male,Hispanic,Some college,85528,04
18-29,Male,Other,College degree,4164,04
18-29,Male,Other,H.S. or less,26320,04
18-29,Male,Other,Postgraduate,948,04
18-29,Male,Other,Some college,17008,04
18-29,Male,White,College degree,45477,04
18-29,Male,White,H.S. or less,106773,04
18-29,Male,White,Postgraduate,7829,04
18-29,Male,White,Some college,108041,04
30-44,Female,Asian,College degree,11034,04
30-44,Female,Asian,H.S. or less,5348,04
30-44,Female,Asian,Postgraduate,11730,04
30-44,Female,Asian,Some college,5516,04
30-44,Female,Black,College degree,5799,04
30-44,Female,Black,H.S. or less,8655,04
30-44,Female,Black,Postgraduate,4360,04
30-44,Female,Black,Some college,13190,04
30-44,Female,Hispanic,College degree,27843,04
30-44,Female,Hispanic,H.S. or less,119992,04
30-44,Female,Hispanic,Postgraduate,11471,04
30-44,Female,Hispanic,Some college,71618,04
30-44,Female,Other,College degree,7619,04
30-44,Female,Other,H.S. or less,14490,04
30-44,Female,Other,Postgraduate,4598,04
30-44,Female,Other,Some college,18749,04
30-44,Female,White,College degree,91505,04
30-44,Female,White,H.S. or less,61842,04
30-44,Female,White,Postgraduate,53002,04
30-44,Female,White,Some college,116439,04
30-44,Male,Asian,College degree,10514,04
30-44,Male,Asian,H.S. or less,4082,04
30-44,Male,Asian,Postgraduate,10650,04
30-44,Male,Asian,Some college,4499,04
30-44,Male,Black,College degree,5016,04
30-44,Male,Black,H.S. or less,13009,04
30-44,Male,Black,Postgraduate,3086,04
30-44,Male,Black,Some college,15507,04
30-44,Male,Hispanic,College degree,24351,04
30-44,Male,Hispanic,H.S. or less,139975,04
30-44,Male,Hispanic,Postgraduate,10375,04
30-44,Male,Hispanic,Some college,67421,04
30-44,Male,Other,College degree,5416,04
30-44,Male,Other,H.S. or less,20473,04
30-44,Male,Other,Postgraduate,3321,04
30-44,Male,Other,Some college,16501,04
30-44,Male,White,College degree,84197,04
30-44,Male,White,H.S. or less,88105,04
30-44,Male,White,Postgraduate,43103,04
30-44,Male,White,Some college,121809,04
45-64,Female,Asian,College degree,8572,04
45-64,Female,Asian,H.S. or less,11297,04
45-64,Female,Asian,Postgraduate,6147,04
45-64,Female,Asian,Some college,7513,04
45-64,Female,Black,College degree,6268,04
45-64,Female,Black,H.S. or less,10139,04
45-64,Female,Black,Postgraduate,3382,04
45-64,Female,Black,Some college,14196,04
45-64,Female,Hispanic,College degree,21180,04
45-64,Female,Hispanic,H.S. or less,126151,04
45-64,Female,Hispanic,Postgraduate,10410,04
45-64,Female,Hispanic,Some college,59286,04
45-64,Female,Other,College degree,5779,04
45-64,Female,Other,H.S. or less,19998,04
45-64,Female,Other,Postgraduate,4212,04
45-64,Female,Other,Some college,18128,04
45-64,Female,White,College degree,121611,04
45-64,Female,White,H.S. or less,137299,04
45-64,Female,White,Postgraduate,77048,04
45-64,Female,White,Some college,213713,04
45-64,Male,Asian,College degree,7305,04
45-64,Male,Asian,H.S. or less,6118,04
45-64,Male,Asian,Postgraduate,7166,04
45-64,Male,Asian,Some college,5669,04
45-64,Male,Black,College degree,5562,04
45-64,Male,Black,H.S. or less,13012,04
45-64,Male,Black,Postgraduate,3261,04
45-64,Male,Black,Some college,14117,04
45-64,Male,Hispanic,College degree,16253,04
45-64,Male,Hispanic,H.S. or less,128126,04
45-64,Male,Hispanic,Postgraduate,8781,04
45-64,Male,Hispanic,Some college,52434,04
45-64,Male,Other,College degree,6240,04
45-64,Male,Other,H.S. or less,19459,04
45-64,Male,Other,Postgraduate,2631,04
45-64,Male,Other,Some college,13278,04
45-64,Male,White,College degree,113905,04
45-64,Male,White,H.S. or less,151858,04
45-64,Male,White,Postgraduate,71346,04
45-64,Male,White,Some college,186268,04
65+,Female,Asian,College degree,3313,04
65+,Female,Asian,H.S. or less,9618,04
65+,Female,Asian,Postgraduate,1456,04
65+,Female,Asian,Some college,3000,04
65+,Female,Black,College degree,2401,04
65+,Female,Black,H.S. or less,5891,04
65+,Female,Black,Postgraduate,1702,04
65+,Female,Black,Some college,5728,04
65+,Female,Hispanic,College degree,4575,04
65+,Female,Hispanic,H.S. or less,62197,04
65+,Female,Hispanic,Postgraduate,3246,04
65+,Female,Hispanic,Some college,18893,04
65+,Female,Other,College degree,2030,04
65+,Female,Other,H.S. or less,12288,04
65+,Female,Other,Postgraduate,1541,04
65+,Female,Other,Some college,7860,04
65+,Female,White,College degree,88598,04
65+,Female,White,H.S. or less,185403,04
65+,Female,White,Postgraduate,67332,04
65+,Female,White,Some college,193985,04
65+,Male,Asian,College degree,2847,04
65+,Male,Asian,H.S. or less,3475,04
65+,Male,Asian,Postgraduate,2198,04
65+,Male,Asian,Some college,2353,04
65+,Male,Black,College degree,1492,04
65+,Male,Black,H.S. or less,5148,04
65+,Male,Black,Postgraduate,1638,04
65+,Male,Black,Some college,5261,04
65+,Male,Hispanic,College degree,4593,04
65+,Male,Hispanic,H.S. or less,44302,04
65+,Male,Hispanic,Postgraduate,3793,04
65+,Male,Hispanic,Some college,18504,04
65+,Male,Other,College degree,1605,04
65+,Male,Other,H.S. or less,9479,04
65+,Male,Other,Postgraduate,1840,04
65+,Male,Other,Some college,4316,04
65+,Male,White,College degree,100603,04
65+,Male,White,H.S. or less,125175,04
65+,Male,White,Postgraduate,86627,04
65+,Male,White,Some college,155826,04
18-29,Female,Asian,College degree,1032,05
18-29,Female,Asian,H.S. or less,1634,05
18-29,Female,Asian,Postgraduate,984,05
18-29,Female,Asian,Some college,1803,05
18-29,Female,Black,College degree,3231,05
18-29,Female,Black,H.S. or less,21048,05
18-29,Female,Black,Postgraduate,888,05
18-29,Female,Black,Some college,19340,05
18-29,Female,Hispanic,College degree,1960,05
18-29,Female,Hispanic,H.S. or less,12605,05
18-29,Female,Hispanic,Postgraduate,58,05
18-29,Female,Hispanic,Some college,7461,05
18-29,Female,Other,College degree,1186,05
18-29,Female,Other,H.S. or less,3226,05
18-29,Female,Other,Postgraduate,349,05
18-29,Female,Other,Some college,3832,05
18-29,Female,White,College degree,27222,05
18-29,Female,White,H.S. or less,55916,05
18-29,Female,White,Postgraduate,6677,05
18-29,Female,White,Some college,67778,05
18-29,Male,Asian,College degree,1104,05
18-29,Male,Asian,H.S. or less,2371,05
18-29,Male,Asian,Postgraduate,1060,05
18-29,Male,Asian,Some college,1724,05
18-29,Male,Black,College degree,1937,05
18-29,Male,Black,H.S. or less,25314,05
18-29,Male,Black,Postgraduate,625,05
18-29,Male,Black,Some college,15163,05
18-29,Male,Hispanic,College degree,1205,05
18-29,Male,Hispanic,H.S. or less,15567,05
18-29,Male,Hispanic,Postgraduate,352,05
18-29,Male,Hispanic,Some college,7744,05
18-29,Male,Other,College degree,962,05
18-29,Male,Other,H.S. or less,5809,05
18-29,Male,Other,Postgraduate,291,05
18-29,Male,Other,Some college,4138,05
18-29,Male,White,College degree,19260,05
18-29,Male,White,H.S. or less,77038,05
18-29,Male,White,Postgraduate,4318,05
18-29,Male,White,Some college,60841,05
30-44,Female,Asian,College degree,2089,05
30-44,Female,Asian,H.S. or less,2463,05
30-44,Female,Asian,Postgraduate,1649,05
30-44,Female,Asian,Some college,924,05
30-44,Female,Black,College degree,7540,05
30-44,Female,Black,H.S. or less,17641,05
30-44,Female,Black,Postgraduate,3971,05
30-44,Female,Black,Some college,19372,05
30-44,Female,Hispanic,College degree,2057,05
30-44,Female,Hispanic,H.S. or less,15750,05
30-44,Female,Hispanic,Postgraduate,729,05
30-44,Female,Hispanic,Some college,4296,05
30-44,Female,Other,College degree,2446,05
30-44,Female,Other,H.S. or less,3203,05
30-44,Female,Other,Postgraduate,999,05
30-44,Female,Other,Some college,3498,05
30-44,Female,White,College degree,40342,05
30-44,Female,White,H.S. or less,61843,05
30-44,Female,White,Postgraduate,24056,05
30-44,Female,White,Some college,67610,05
30-44,Male,Asian,College degree,1733,05
30-44,Male,Asian,H.S. or less,2451,05
30-44,Male,Asian,Postgraduate,2151,05
30-44,Male,Asian,Some college,456,05
30-44,Male,Black,College degree,4266,05
30-44,Male,Black,H.S. or less,23000,05
30-44,Male,Black,Postgraduate,1915,05
30-44,Male,Black,Some college,12308,05
30-44,Male,Hispanic,College degree,2489,05
30-44,Male,Hispanic,H.S. or less,19818,05
30-44,Male,Hispanic,Postgraduate,610,05
30-44,Male,Hispanic,Some college,4001,05
30-44,Male,Other,College degree,1515,05
30-44,Male,Other,H.S. or less,3953,05
30-44,Male,Other,Postgraduate,1116,05
30-44,Male,Other,Some college,2243,05
30-44,Male,White,College degree,34498,05
30-44,Male,White,H.S. or less,84514,05
30-44,Male,White,Postgraduate,16587,05
30-44,Male,White,Some college,59529,05
45-64,Female,Asian,College degree,1090,05
45-64,Female,Asian,H.S. or less,3244,05
45-64,Female,Asian,Postgraduate,646,05
45-64,Female,Asian,Some college,1436,05
45-64,Female,Black,College degree,6782,05
45-64,Female,Black,H.S. or less,25587,05
45-64,Female,Black,Postgraduate,4121,05
45-64,Female,Black,Some college,20440,05
45-64,Female,Hispanic,College degree,1263,05
45-64,Female,Hispanic,H.S. or less,12422,05
45-64,Female,Hispanic,Postgraduate,802,05
45-64,Female,Hispanic,Some college,3734,05
45-64,Female,Other,College degree,1006,05
45-64,Female,Other,H.S. or less,4477,05
45-64,Female,Other,Postgraduate,822,05
45-64,Female,Other,Some college,4134,05
45-64,Female,White,College degree,49180,05
45-64,Female,White,H.S. or less,122397,05
45-64,Female,White,Postgraduate,26450,05
45-64,Female,White,Some college,95959,05
45-64,Male,Asian,College degree,1015,05
45-64,Male,Asian,H.S. or less,2060,05
45-64,Male,Asian,Postgraduate,1237,05
45-64,Male,Asian,Some college,967,05
45-64,Male,Black,College degree,4011,05
45-64,Male,Black,H.S. or less,30500,05
45-64,Male,Black,Postgraduate,2172,05
45-64,Male,Black,Some college,12180,05
45-64,Male,Hispanic,College degree,886,05
45-64,Male,Hispanic,H.S. or less,15790,05
45-64,Male,Hispanic,Postgraduate,747,05
45-64,Male,Hispanic,Some college,2127,05
45-64,Male,Other,College degree,1317,05
45-64,Male,Other,H.S. or less,4949,05
45-64,Male,Other,Postgraduate,844,05
45-64,Male,Other,Some college,3659,05
45-64,Male,White,College degree,39977,05
45-64,Male,White,H.S. or less,143516,05
45-64,Male,White,Postgraduate,22561,05
45-64,Male,White,Some college,76143,05
65+,Female,Asian,College degree,179,05
65+,Female,Asian,H.S. or less,1172,05
65+,Female,Asian,Postgraduate,482,05
65+,Female,Asian,Some college,513,05
65+,Female,Black,College degree,2441,05
65+,Female,Black,H.S. or less,18918,05
65+,Female,Black,Postgraduate,2094,05
65+,Female,Black,Some college,6611,05
65+,Female,Hispanic,College degree,292,05
65+,Female,Hispanic,H.S. or less,3113,05
65+,Female,Hispanic,Postgraduate,108,05
65+,Female,Hispanic,Some college,988,05
65+,Female,Other,College degree,337,05
65+,Female,Other,H.S. or less,4459,05
65+,Female,Other,Postgraduate,484,05
65+,Female,Other,Some college,1673,05
65+,Female,White,College degree,24980,05
65+,Female,White,H.S. or less,131647,05
65+,Female,White,Postgraduate,18037,05
65+,Female,White,Some college,64452,05
65+,Male,Asian,College degree,420,05
65+,Male,Asian,H.S. or less,460,05
65+,Male,Asian,Postgraduate,188,05
65+,Male,Asian,Some college,509,05
65+,Male,Black,College degree,1669,05
65+,Male,Black,H.S. or less,13919,05
65+,Male,Black,Postgraduate,1312,05
65+,Male,Black,Some college,4685,05
65+,Male,Hispanic,College degree,427,05
65+,Male,Hispanic,H.S. or less,2893,05
65+,Male,Hispanic,Postgraduate,57,05
65+,Male,Hispanic,Some college,519,05
65+,Male,Other,College degree,2422,05
65+,Male,Other,H.S. or less,2615,05
65+,Male,Other,Postgraduate,322,05
65+,Male,Other,Some college,1263,05
65+,Male,White,College degree,27352,05
65+,Male,White,H.S. or less,96171,05
65+,Male,White,Postgraduate,19863,05
65+,Male,White,Some college,49730,05
18-29,Female,Asian,College degree,158912,06
18-29,Female,Asian,H.S. or less,85727,06
18-29,Female,Asian,Postgraduate,56400,06
18-29,Female,Asian,Some college,164215,06
18-29,Female,Black,College degree,28854,06
18-29,Female,Black,H.S. or less,66275,06
18-29,Female,Black,Postgraduate,6600,06
18-29,Female,Black,Some college,90543,06
18-29,Female,Hispanic,College degree,179644,06
18-29,Female,Hispanic,H.S. or less,624928,06
18-29,Female,Hispanic,Postgraduate,25917,06
18-29,Female,Hispanic,Some college,697709,06
18-29,Female,Other,College degree,36633,06
18-29,Female,Other,H.S. or less,42919,06
18-29,Female,Other,Postgraduate,7273,06
18-29,Female,Other,Some college,65488,06
18-29,Female,White,College degree,268065,06
18-29,Female,White,H.S. or less,234079,06
18-29,Female,White,Postgraduate,64930,06
18-29,Female,White,Some college,393330,06
18-29,Male,Asian,College degree,136664,06
18-29,Male,Asian,H.S. or less,109378,06
18-29,Male,Asian,Postgraduate,54421,06
18-29,Male,Asian,Some college,175913,06
18-29,Male,Black,College degree,26561,06
18-29,Male,Black,H.S. or less,94974,06
18-29,Male,Black,Postgraduate,3328,06
18-29,Male,Black,Some college,89333,06
18-29,Male,Hispanic,College degree,127843,06
18-29,Male,Hispanic,H.S. or less,833682,06
18-29,Male,Hispanic,Postgraduate,15696,06
18-29,Male,Hispanic,Some college,629363,06
18-29,Male,Other,College degree,31442,06
18-29,Male,Other,H.S. or less,54567,06
